Time,/fdm/jsbsim/simulation/sim-time-sec,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/velocities/vc-kts,/fdm/jsbsim/velocities/v-north-fps,/fdm/jsbsim/velocities/v-east-fps,/fdm/jsbsim/velocities/v-down-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/aero/alpha-rad,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/rato-throttle-cmd-norm,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine[1]/thrust-lbs,/fdm/jsbsim/propulsion/engine[2]/thrust-lbs,/fdm/jsbsim/inertia/weight-lbs,/fdm/jsbsim/inertia/mass-slugs,/fdm/jsbsim/fcs/aileron-cmd-norm,/fdm/jsbsim/fcs/elevator-cmd-norm,/fdm/jsbsim/fcs/rudder-cmd-norm,/fdm/jsbsim/fcs/left-elevon-pos-rad,/fdm/jsbsim/fcs/right-elevon-pos-rad,/fdm/jsbsim/fcs/rudder3-pos-rad,/fdm/jsbsim/fcs/rudder4-pos-rad,/fdm/jsbsim/aero/sr75/roll_moment,/fdm/jsbsim/aero/sr75/pitch_moment,/fdm/jsbsim/aero/sr75/yaw_moment
52.97833333,52.9783333332932713,32.3639077923817311,74.3658717146747819,0.556976146996021271,0.556973572436112563,-0.00147840099593462616,-1.98699206580311594,315.262309484533034,38.5306474969958828,22.8285985312274597,27.3682139028140163,-27.1217931689991651,-8.73017789186913973e-05,3.18016599219773639e-06,2.39837432142743276e-05,0.000379131984926701611,6.42657511850243424,-0.00114995656090031116,-0.22214785789620678,-0.0346818209589847687,0.559178253682311333,0,31.0812642554418339,31.0812642554418339,0,266.75360179088068,8.29095529104467666,0,0,0,0,0,0,0,0.000381882954607713299,1.35008690036492007,-0.00460281840282487659
53.00333333,53.0033333332932486,32.3639096715071588,74.3658695100169638,0.556977711617946625,0.556975137622507832,-0.0014927193938609703,-1.98695434149674854,315.262852773240411,38.6915743510918446,22.9239443088374166,27.482763743303618,-27.2348237224930259,-8.85254099514121151e-05,3.19590839685937394e-06,2.50087990681146567e-05,0.000380693036101816993,6.43199948478645211,-0.00115983275001997448,-0.222285445366534273,-0.0346811847744199903,0.559432536396042179,0,31.1067592839452409,31.1067592839452409,0,266.751965375388465,8.29090442969700447,0,0,0,0,0,0,0,0.000389192136079702801,1.36134326361602209,-0.00464630179558271628
53.02833333,53.0283333332932258,32.3639115584846735,74.3658672961865221,0.556979302316904068,0.556976725636274983,-0.00150709168595367939,-1.98691513779341999,315.263398291310864,38.8526364210210815,23.0193701989628465,27.5974126677336145,-27.3479463820490345,-8.97386053986259924e-05,3.21249222288274227e-06,2.60329134456704797e-05,0.000382249698244982266,6.43738447993054219,-0.00116971348035145063,-0.222424871945021418,-0.034680522309320852,0.559685234963452238,0,31.132106966289566,31.132106966289566,0,266.750327975728794,8.29085353776047285,0,0,0,0,0,0,0,0.000396586645602059321,1.37265468366043364,-0.00469002040149661681
53.05333333,53.0533333332932031,32.3639134533209827,74.3658650731760105,0.556980915367603302,0.556978342999722154,-0.00152151735692757431,-1.98687446089117303,315.263946032396348,39.0138327278418373,23.1148756216278635,27.7121599934463703,-27.4611604456800968,-9.09916433009527736e-05,3.22856764005775094e-06,2.70498386272566665e-05,0.000383801896847627,6.44273060271661979,-0.00117960222026672334,-0.222561366914222764,-0.0346798349661252905,0.559936359253555005,0,31.1573080777760723,31.1573080777760723,0,266.74868959780332,8.29080261541851193,0,0,0,0,0,0,0,0.000404091380055024104,1.38402137124774494,-0.0047339738028455711
53.07833333,53.0783333332931804,32.3639153560228152,74.3658628409780817,0.556982580572366714,0.556980006018612417,-0.00153599686134657911,-1.98683231204482103,315.264495990029729,39.1751623007952645,23.210460001656589,27.8270050434449523,-27.5744652173114133,-9.22141829673428504e-05,3.24518176513058929e-06,2.80740171283100915e-05,0.000385349519815577084,6.4480381304246448,-0.00118949578403626348,-0.222693218072247678,-0.0346791209607280326,0.5601859190738816,0,31.1823633906365565,31.1823633906365565,0,266.747050247479535,8.29075166285348608,0,0,0,0,0,0,0,0.000411688209845625962,1.3954429652232454,-0.00477816116923748466
53.10333333,53.1033333332931576,32.3639172665968715,74.3658605995853463,0.556984260678291321,0.556981685342568311,-0.00155052990054099392,-1.98678868298093181,315.265048157592901,39.3366241712523816,23.3061227651656218,27.9419471421874874,-27.6878600024243404,-9.34170665694011859e-05,3.25952781592499013e-06,2.90972401749494774e-05,0.000386892520869836474,6.4533067846367409,-0.00119939589675295034,-0.222827679980148741,-0.0346783804361600265,0.560433924170863906,0,31.2072736740685599,31.2072736740685599,0,266.745409930591165,8.29070068024671691,0,0,0,0,0,0,0,0.000419428804933542031,1.40691966536599544,-0.00482258234513802814
53.12833333,53.1283333332931349,32.3639191850497383,74.3658583489905851,0.556985978037118912,0.556983400538506035,-0.00156511754853117099,-1.98674358627355363,315.265602528347017,39.4982173744209888,23.401863340553323,28.0569856167230931,-27.8013441093353819,-9.46338231258003759e-05,3.27605747811244614e-06,3.01110082401528196e-05,0.000388430712114289838,6.45853721699679273,-0.00120929470411338877,-0.222957633983062176,-0.0346776144690043309,0.560680384230213935,0,31.2320396941787841,31.2320396941787841,0,266.743768652938456,8.290649667778478,0,0,0,0,0,0,0,0.000427233049153713713,1.41845171807351078,-0.00486723561095051774
53.15333333,53.1533333332931122,32.3639211113880449,74.3658560891865363,0.556987728923559189,0.556985154867582266,-0.00157975615227839592,-1.98669702256774605,315.266159095323189,39.6599409519250443,23.4976811599711866,28.172119798683557,-27.9149168508509966,-9.58346900130635504e-05,3.29308150603351403e-06,3.11265390616927715e-05,0.000389964029997710881,6.46372937635075928,-0.00121919363612637069,-0.223086457327121901,-0.0346768223178157489,0.560925308877303963,0,31.2566622140211976,31.2566622140211976,0,266.742126420287946,8.29059862562800198,0,0,0,0,0,0,0,0.000435132125734527032,1.43003886714242245,-0.00491212053781875466
53.17833333,53.1783333332930894,32.3639230456182929,74.3658538201660662,0.556989498436450958,0.556986922240566229,-0.00159444732457642469,-1.98664899976829279,315.266717851509611,39.8217939480069347,23.5935756571765225,28.2873490212895327,-28.0285775418930179,-9.70523818530910631e-05,3.30855977555105619e-06,3.21344994008907525e-05,0.000391492412384455589,6.46888334899747974,-0.00122909463830165114,-0.223215757506773471,-0.0346760049490169933,0.561168707677540457,0,31.2811419935880544,31.2811419935880544,0,266.74048323837286,8.29054755397348053,0,0,0,0,0,0,0,0.000443164217208100262,1.44168137261045204,-0.0049572367368360239
53.20333333,53.2033333332930667,32.3639249877469979,74.3658515419220691,0.556991305202245712,0.556988735268991952,-0.00160919110638140872,-1.9865995216592911,315.267278789724458,39.9837754128577245,23.6895462694254633,28.402672621935718,-28.1423255016214675,-9.82705072838374605e-05,3.32534461536635351e-06,3.31423464210306101e-05,0.00039301570730405108,6.47399959923180823,-0.00123899227773232971,-0.223340995243217988,-0.03467516201555014,0.56141059013674055,0,31.30547978978381,31.30547978978381,0,266.738839112893402,8.29049645299208215,0,0,0,0,0,0,0,0.000451277605857979003,1.45337907299969871,-0.00500258278481983086
